序号,名称,音频地址,课件地址,视频地址,视频时长
26,第三篇 消防设施安装、检测与维护管理 第七章 气体灭火系统 第1、2节,http://downmp3.highso.com.cn/1909/ONANRCXV/ONANRCXV.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d7z_qtmhxy_1-2.pdf,http://bccdn.video.source.haixue.com/1909/ONANRCXV/ece78b5be5c16e44d7f8b06d93d5c54a.mp4,20:43
27,第三篇 消防设施安装、检测与维护管理 第七章 气体灭火系统 第3节,http://downmp3.highso.com.cn/1909/FRLARNCG/FRLARNCG.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d7z_qtmhxy_3.pdf,http://bccdn.video.source.haixue.com/1909/FRLARNCG/1cdb7711324c03b98290bdd2d379fbd8.mp4,29:25
28,第三篇 消防设施安装、检测与维护管理 第七章 气体灭火系统 第4、5节,http://downmp3.highso.com.cn/1909/JOYMCEDZ/JOYMCEDZ.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d7z_qtmhxy_4-5.pdf,http://bccdn.video.source.haixue.com/1909/JOYMCEDZ/0ed8bcce2c3cf7977937b3c4e04cce30.mp4,29:19
29,第三篇 消防设施安装、检测与维护管理 第八章 泡沫灭火系统,http://downmp3.highso.com.cn/1909/LICRCQHO/LICRCQHO.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d8z_pmmhxt.pdf,http://bccdn.video.source.haixue.com/1909/LICRCQHO/1d39284b3d132518dccc5593a73d6836.mp4,36:18
30,第三篇 消防设施安装、检测与维护管理 第九章 干粉灭火系统,http://downmp3.highso.com.cn/1909/OTHHXSPZ/OTHHXSPZ.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d9z_gfmhxt.pdf,http://bccdn.video.source.haixue.com/1909/OTHHXSPZ/7cd5817bc624caa8ada4a2a7e55bff36.mp4,18:19
31,第三篇 消防设施安装、检测与维护管理 第十章 建筑灭火器,http://downmp3.highso.com.cn/1909/QKTKBGZU/QKTKBGZU.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d10z_jzmhq.pdf,http://bccdn.video.source.haixue.com/1909/QKTKBGZU/c1742918fca2a96ec2525db42a11cbb8.mp4,40:35
32,第三篇 消防设施安装、检测与维护管理 第十一章 防烟排烟系统 第1、2节,http://downmp3.highso.com.cn/1909/HPKFSNND/HPKFSNND.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d11z_fpyxt_1-2.pdf,http://bccdn.video.source.haixue.com/1909/HPKFSNND/891b45ba1d59965d19b24903a936a095.mp4,22:59
33,第三篇 消防设施安装、检测与维护管理 第十一章 防烟排烟系统 第3、4、5节,http://downmp3.highso.com.cn/1909/KMDNGJRO/KMDNGJRO.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d11z_fpyxt_3-5.pdf,http://bccdn.video.source.haixue.com/1909/KMDNGJRO/7f3e9fe6c8441a1b2663c1eaa228a693.mp4,50:10
34,第三篇 消防设施安装、检测与维护管理 第十二章 消防用电设备的供配电与电气防火防爆,http://downmp3.highso.com.cn/1909/DNJQCYUV/DNJQCYUV.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d12z.pdf,http://bccdn.video.source.haixue.com/1909/DNJQCYUV/3e0d47756e09e711c4fd03ee71f2e849.mp4,41:01
35,第三篇 消防设施安装、检测与维护管理 第十三章 消防应急照明和疏散指示系统 第1节、第2节（1）,http://downmp3.highso.com.cn/1909/CFXVECTJ/CFXVECTJ.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d13z_1-2_1.pdf,http://bccdn.video.source.haixue.com/1909/CFXVECTJ/3fa9564766ebd4508ad1844cb47b565d.mp4,33:49
36,第三篇 消防设施安装、检测与维护管理 第十三章 消防应急照明和疏散指示系统 第2节（2）,http://downmp3.highso.com.cn/1909/ARBIPWRU/ARBIPWRU.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d13z_2_2.pdf,http://bccdn.video.source.haixue.com/1909/ARBIPWRU/b4ffa7e2df26f11dcb96f8264d12cfcf.mp4,40:50
37,第三篇 消防设施安装、检测与维护管理 第十三章 消防应急照明和疏散指示系统 第3节,http://downmp3.highso.com.cn/1909/NZCFVRTY/NZCFVRTY.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d13z_3.pdf,http://bccdn.video.source.haixue.com/1909/NZCFVRTY/593925a944c03e46194ba3c44d539ba2.mp4,11:08
38,第三篇 消防设施安装、检测与维护管理 第十四章 火灾自动报警系统 第1节、第2节（1）,http://downmp3.highso.com.cn/1909/EERVHCXN/EERVHCXN.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d14z_1-2_1.pdf,http://bccdn.video.source.haixue.com/1909/EERVHCXN/fac296a90b36361374040d0adee21c40.mp4,24:32
39,第三篇 消防设施安装、检测与维护管理 第十四章 火灾自动报警系统 第2节（2）,http://downmp3.highso.com.cn/1909/EZITELHR/EZITELHR.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d14z_2_2.pdf,http://bccdn.video.source.haixue.com/1909/EZITELHR/a69877fc0579b87bbc3605a7c8970068.mp4,37:06
40,第三篇 消防设施安装、检测与维护管理 第十四章 火灾自动报警系统 第3节,http://downmp3.highso.com.cn/1909/VIPJIOIG/VIPJIOIG.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d14z_3.pdf,http://bccdn.video.source.haixue.com/1909/VIPJIOIG/2c523937813b090aeafa889252d32731.mp4,25:40
41,第三篇 消防设施安装、检测与维护管理 第十五章 城市消防远程监控系统,http://downmp3.highso.com.cn/1909/DCGARNDE/DCGARNDE.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d15z.pdf,http://bccdn.video.source.haixue.com/1909/DCGARNDE/15b01794852dbdc8573ab8e5e3284c69.mp4,14:26
42,第四篇 消防安全评估方法与技术 第一章 第二章 第三章,http://downmp3.highso.com.cn/1909/IAZLLFKL/IAZLLFKL.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d4p_1-3.pdf,http://bccdn.video.source.haixue.com/1909/IAZLLFKL/3929a657f8490ba309e2f04eea4a3293.mp4,28:32
43,第五篇 消防安全管理 第一章 消防安全管理概述、第二章 社会单位消防安全管理（1）,http://downmp3.highso.com.cn/1909/DHLEKBBK/DHLEKBBK.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d5p_1-2_1.pdf,http://bccdn.video.source.haixue.com/1909/DHLEKBBK/8a10e6f9e95378d56ecf695d5a8f80ca.mp4,24:47
44,第五篇 消防安全管理 第二章 社会单位消防安全管理（2）,http://downmp3.highso.com.cn/1909/CGSAFLKB/CGSAFLKB.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d5p_2_2.pdf,http://bccdn.video.source.haixue.com/1909/CGSAFLKB/ba91e1cf974b254fe945791692c9752d.mp4,28:12
45,第五篇 消防安全管理 第二章 社会单位消防安全管理 第3、4节,http://downmp3.highso.com.cn/1909/VATTZCTM/VATTZCTM.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d5p_2_3-4.pdf,http://bccdn.video.source.haixue.com/1909/VATTZCTM/b66b4d07b712881410b63b4391905b14.mp4,34:22
46,第五篇 消防安全管理 第二章 社会单位消防安全管理 第5、6节 第三章 社会单位消防安全宣传与教育培训,http://downmp3.highso.com.cn/1909/OADDKELT/OADDKELT.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d5p_2_5-6_3.pdf,http://bccdn.video.source.haixue.com/1909/OADDKELT/7855c2aafac3035fae3b202e621032cd.mp4,26:36
47,第五篇 消防安全管理 第四章 应急预案编制与演练,http://downmp3.highso.com.cn/1909/OCDUVDBD/OCDUVDBD.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d5p_4.pdf,http://bccdn.video.source.haixue.com/1909/OCDUVDBD/2f7cc778c4ff309f49221d718826b4d0.mp4,21:03
48,第五篇 消防安全管理 第五章 施工现场消防安全管理,http://downmp3.highso.com.cn/1909/QXTRMGYN/QXTRMGYN.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d5p_5.pdf,http://bccdn.video.source.haixue.com/1909/QXTRMGYN/7ce832c75b005ef2ba210cb52a85f77b.mp4,35:07
49,第五篇 消防安全管理 第六章 大型群众性活动消防安全管理,http://downmp3.highso.com.cn/1909/QLUOHLQL/QLUOHLQL.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d5p_6.pdf,http://bccdn.video.source.haixue.com/1909/QLUOHLQL/96bcf300b1e98ff39fce70a0d05f4a74.mp4,21:58
