序号,名称,音频地址,课件地址,视频地址,视频时长
50,第四篇 其他建筑、场所防火 第一章 概述 、第二章 石油化工防火 第1、2节,http://downmp3.highso.com.cn/1909/MHOQRGRG/MHOQRGRG.mp3,http://down.highso.com.cn/pdf/2019/xf/019_lzq_yjxfgcs_xfaqjssw_jcjj_d4p_1-2_1-2.pdf,http://bccdn.video.source.haixue.com/1909/MHOQRGRG/209ba0128c6d2026c4f2c4b7ce0cafe3.mp4,32:48
51,第四篇 其他建筑、场所防火 第二章 石油化工防火 第3节,http://downmp3.highso.com.cn/1909/IAYKAAZI/IAYKAAZI.mp3,http://down.highso.com.cn/pdf/2019/xf/019_lzq_yjxfgcs_xfaqjssw_jcjj_d4p_2_3.pdf,http://bccdn.video.source.haixue.com/1909/IAYKAAZI/488eaa6ef311d711750ba51500b88ad6.mp4,26:47
52,第四篇 其他建筑、场所防火 第三章 地铁防火,http://downmp3.highso.com.cn/1909/YZYTLBVN/YZYTLBVN.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d3p.pdf,http://bccdn.video.source.haixue.com/1909/YZYTLBVN/fa9676c7462b67b17d371b09829ea635.mp4,56:10
53,第四篇 其他建筑、场所防火 第四章 城市交通隧道防火,http://downmp3.highso.com.cn/1909/FMYZTFGL/FMYZTFGL.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d4p.pdf,http://bccdn.video.source.haixue.com/1909/FMYZTFGL/f426db6360347f9c86381fd7ea013a0f.mp4,28:56
54,第四篇 其他建筑、场所防火 第五章 加油加气站防火,http://bccdn.video.source.haixue.com/2002/PCPGSUQA/PCPGSUQA.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d5p.pdf,http://bccdn.video.source.haixue.com/2002/PCPGSUQA/158224c37938d93db9bacb45d7a82fb6.mp4,42:37
55,第四篇 其他建筑、场所防火 第六章 发电厂与变电站防火,http://downmp3.highso.com.cn/1909/IGUJTBYJ/IGUJTBYJ.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d6p.pdf,http://bccdn.video.source.haixue.com/1909/IGUJTBYJ/458358c0094c9f84233a44223bd80648.mp4,27:55
56,第四篇 其他建筑、场所防火 第七章 飞机库防火,http://downmp3.highso.com.cn/1909/LWGTXXBN/LWGTXXBN.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d7p.pdf,http://bccdn.video.source.haixue.com/1909/LWGTXXBN/65d6e50d463eaac35be4a6f7078e565a.mp4,15:02
57,第四篇 其他建筑、场所防火 第八章 汽车库、修车库防火 第1、2节、第3节（1）,http://downmp3.highso.com.cn/1909/OWYIAZFY/OWYIAZFY.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d8p_1-3_1.pdf,http://bccdn.video.source.haixue.com/1909/OWYIAZFY/ae087300ae65af80d69f99577bf6541f.mp4,37:30
58,第四篇 其他建筑、场所防火 第八章 汽车库、修车库防火 第3节（2）,http://downmp3.highso.com.cn/1909/KIFAPENG/KIFAPENG.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d8p_3_2.pdf,http://bccdn.video.source.haixue.com/1909/KIFAPENG/4de24744515e394b3c735a8b70161bea.mp4,24:29
59,第四篇 其他建筑、场所防火 第九章 洁净厂房防火,http://downmp3.highso.com.cn/1909/PWAUKETC/PWAUKETC.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d9p.pdf,http://bccdn.video.source.haixue.com/1909/PWAUKETC/ab3a38bf27eaae012510e3df7976176a.mp4,14:07
60,第四篇 其他建筑、场所防火 第十章 信息机房防火,http://downmp3.highso.com.cn/1909/KJONWITW/KJONWITW.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d10p.pdf,http://bccdn.video.source.haixue.com/1909/KJONWITW/21dc47bab0440bfd05356a72d96ee755.mp4,14:31
61,第四篇 其他建筑、场所防火 第十一章 古建筑防火,http://downmp3.highso.com.cn/1909/FKRMENRP/FKRMENRP.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d11p.pdf,http://bccdn.video.source.haixue.com/1909/FKRMENRP/16179534615718af534ca41fc6ead05f.mp4,18:41
62,第四篇 其他建筑、场所防火 第十二章 人民防空工程防火,http://downmp3.highso.com.cn/1909/BHZJLKVS/BHZJLKVS.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d12p.pdf,http://bccdn.video.source.haixue.com/1909/BHZJLKVS/75f1480e7310a0cd7f9bf02e7f19466c.mp4,35:31
63,第五篇 消防安全评估 第一章 概述、第二章 火灾风险识别,http://downmp3.highso.com.cn/1909/YWZZHRHM/YWZZHRHM.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d5p_1-2.pdf,http://bccdn.video.source.haixue.com/1909/YWZZHRHM/7492cb65c58a53ae3d18b0a5f8639a5f.mp4,38:09
64,第五篇 消防安全评估 第三章 火灾风险评估方法概述、第四章 建筑性能化防火设计与评估,http://downmp3.highso.com.cn/1909/HBIGOGKU/HBIGOGKU.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d5p_3-4.pdf,http://bccdn.video.source.haixue.com/1909/HBIGOGKU/5e0052664260d6eff4f9a6c3516de110.mp4,45:23
